Relative performance profile for NumberOfIterations
Filter: gap <= 0.102% and not failed
               SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
28.143580           15       20       27       21       24       28     21     4          35            2
28.911318           15       20       27       21       24       28     21     4          35            2
29.699998           15       20       27       21       24       28     21     4          35            2
30.510194           15       20       27       21       24       28     21     4          35            2
31.342491           15       20       27       21       24       28     21     4          35            2
32.197493           15       20       27       21       24       28     21     4          35            2
33.075818           15       20       27       21       24       28     21     4          35            2
33.978104           15       20       27       21       24       28     21     4          35            2
34.905003           15       20       27       21       24       28     21     4          35            2
35.857188           15       20       27       21       24       28     21     4          35            2
36.835348           15       20       27       21       24       28     21     4          35            2
37.840191           15       20       27       21       24       28     21     4          35            2
38.872445           15       20       27       21       24       28     21     5          35            2
39.932859           15       20       27       21       24       28     21     5          35            2
41.022200           15       20       27       21       24       28     21     5          35            2
42.141257           15       20       27       21       24       28     21     5          35            2
43.290842           15       20       27       21       24       28     21     5          35            2
44.471786           15       20       27       21       24       28     21     5          35            2
45.684946           15       20       27       21       24       28     21     6          35            2
46.931200           15       20       27       21       24       28     21     6          35            2
48.211451           15       20       27       21       24       28     21     6          35            2
49.526626           15       20       27       21       24       28     21     6          35            2
50.877679           15       20       27       21       24       28     21     6          35            2
52.265587           15       20       27       21       24       28     21     6          35            2
53.691356           15       20       27       21       24       28     21     6          35            2
55.156020           15       20       27       21       24       28     21     6          35            2
56.660638           15       20       27       21       24       28     21     6          35            2
58.206301           15       20       27       21       24       28     21     6          35            2
59.794129           15       20       27       21       24       28     21     6          35            2
61.425272           15       20       27       21       24       28     21     6          35            2
63.100912           15       20       27       21       24       28     21     6          35            2
64.822261           15       20       27       21       24       28     21     6          35            2
66.590568           15       20       27       21       24       28     21     6          35            2
68.407113           15       20       27       21       24       28     21     6          35            2
70.273212           15       20       27       21       24       28     21     6          35            2
72.190217           15       20       27       21       24       28     21     6          35            2
74.159517           15       20       27       21       24       28     21     6          35            2
76.182538           15       20       27       21       24       28     21     6          35            2
78.260745           15       20       27       21       24       28     21     6          35            2
80.395644           15       20       27       21       24       28     21     7          35            2
82.588782           15       20       27       21       24       28     21     7          35            2
84.841748           15       20       27       21       24       28     21     7          35            2
87.156172           15       20       27       21       24       28     21     7          35            2
89.533733           15       20       27       21       24       28     21     7          35            2
91.976152           15       20       27       21       24       28     21     7          35            2
94.485198           15       20       27       21       24       28     21     7          35            2
97.062690           15       20       27       21       24       28     21     7          35            2
99.710493           15       20       27       21       24       28     21     7          35            2
102.430527          15       20       27       21       24       28     21     7          35            2
105.224762          15       20       27       21       24       28     21     7          35            2
108.095221          15       20       27       21       24       28     21     7          35            2
111.043985          15       20       27       21       24       28     21     7          35            2
114.073188          15       20       27       21       24       28     21     8          35            2
117.185027          15       20       27       21       24       28     21     8          35            2
120.381754          15       20       27       21       24       28     21     8          35            2
123.665686          15       20       27       21       24       28     21     8          35            2
127.039201          15       20       27       21       24       28     21     8          35            2
130.504743          15       20       27       21       24       28     21     8          35            2
134.064823          15       20       27       21       24       28     21     8          35            2
137.722019          15       20       27       21       24       28     21     8          35            2
141.478982          15       20       27       21       24       28     21     8          35            2
145.338431          15       20       27       21       24       28     21     8          35            2
149.303164          15       20       27       21       24       28     21     8          35            2
153.376052          15       20       27       21       24       28     21     8          35            2
157.560045          15       20       27       21       24       28     21     8          35            2
161.858175          15       20       27       21       24       28     21     9          35            3
166.273555          15       20       27       21       24       28     21     9          35            3
170.809384          15       20       27       21       24       28     21     9          35            3
175.468947          15       20       27       21       24       28     22    10          35            4
180.255619          15       20       27       21       24       28     22    10          35            4
185.172869          15       20       27       21       24       28     22    10          35            4
190.224258          15       20       27       21       24       28     22    10          35            4
195.413445          15       20       27       21       24       28     22    10          35            4
200.744190          15       20       27       21       24       28     22    10          35            4
206.220354          15       20       27       21       24       28     22    10          35            4
211.845904          15       20       27       21       24       28     22    10          35            4
217.624915          15       20       27       21       24       28     22    10          35            4
223.561573          15       20       27       21       24       28     22    10          35            4
229.660180          15       20       27       21       24       28     22    10          35            4
235.925152          15       20       27       21       24       28     22    10          35            4
242.361028          15       20       27       21       24       28     22    10          35            4
248.972471          15       20       27       21       24       28     22    10          35            4
255.764269          15       20       27       21       24       28     22    10          35            4
262.741343          15       20       27       21       24       28     22    10          35            4
269.908747          15       20       27       21       24       28     22    10          35            4
277.271672          15       20       27       21       24       28     22    10          35            4
284.835453          15       20       27       21       24       28     22    10          35            4
292.605569          15       20       27       21       24       28     22    10          35            4
300.587648          15       20       27       21       24       28     22    10          35            4
308.787473          15       20       27       21       24       28     22    10          35            4
317.210984          15       20       27       21       24       28     22    10          35            4
325.864282          15       20       27       21       24       28     22    10          35            4
334.753636          15       20       27       21       24       28     22    10          35            4
343.885486          15       20       27       21       24       28     22    10          35            4
353.266446          15       20       27       21       24       28     22    10          35            4
362.903312          15       20       27       21       24       28     22    10          35            4
372.803066          15       20       27       21       24       28     22    10          35            4
