Absolute performance profile for SolverTime
Filter: gap <= 0.102% and not failed
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
74.851993        15       17       22       20       22       27     27    19          33            7
75.455485        15       17       22       20       22       27     27    19          33            7
76.058977        15       17       22       20       22       27     27    19          33            7
76.662469        15       17       22       20       22       27     27    19          33            7
77.265961        15       17       22       20       22       27     27    20          34            7
77.869453        15       17       22       20       22       27     27    20          34            7
78.472944        15       17       22       20       22       27     27    20          34            7
79.076436        15       17       22       20       22       27     27    20          34            7
79.679928        15       17       22       20       22       27     27    20          34            7
80.283420        15       17       22       20       22       27     27    20          34            7
80.886912        15       17       22       20       22       27     27    20          34            7
81.490404        15       17       23       20       22       27     27    20          34            7
82.093896        15       17       23       20       22       27     27    20          34            7
82.697388        15       17       23       20       22       27     27    20          34            7
83.300879        15       17       23       20       22       27     27    20          34            7
83.904371        15       17       23       20       22       27     27    20          34            7
84.507863        15       18       23       20       22       27     27    20          34            7
85.111355        15       18       23       20       22       27     27    20          34            7
85.714847        15       18       23       20       22       27     27    20          34            7
86.318339        15       18       23       20       22       27     27    20          34            7
86.921831        15       18       23       20       22       27     27    20          34            7
87.525323        15       18       23       20       22       27     27    20          34            7
88.128815        15       18       23       20       22       27     27    20          34            7
88.732306        15       18       23       20       22       27     27    20          34            7
89.335798        15       18       23       20       22       27     27    20          34            7
89.939290        15       18       23       20       22       27     28    20          34            7
90.542782        15       18       23       20       22       27     28    20          34            7
91.146274        15       18       23       20       22       27     28    20          34            7
91.749766        15       18       24       20       22       27     28    20          34            7
92.353258        15       18       24       20       22       27     28    20          34            7
92.956750        15       18       24       20       22       27     28    20          34            7
93.560241        15       18       24       20       22       27     28    20          34            7
94.163733        15       18       24       20       22       27     28    20          34            7
94.767225        15       18       24       20       22       27     28    20          34            7
95.370717        15       18       24       20       22       27     28    20          34            7
95.974209        15       18       24       20       22       27     28    20          34            7
