Relative performance profile for SolverTime
Filter: gap <= 0.102% and not failed
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
5.059663          9       11       19       19        8       14     26    17          35            1
5.126252          9       11       19       19        8       14     26    17          35            1
5.193718          9       11       19       19        9       14     26    17          35            2
5.262072          9       11       19       19        9       14     27    17          35            2
5.331325          9       11       19       19        9       14     27    17          35            2
5.401490          9       11       19       19        9       14     27    17          35            2
5.472578          9       11       19       19        9       14     27    17          35            2
5.544602          9       12       20       19        9       14     27    17          35            2
5.617573          9       12       20       19        9       15     27    17          35            2
5.691506          9       12       20       19        9       15     27    17          35            2
5.766411          9       12       20       19        9       15     27    17          35            2
5.842301          9       12       20       19        9       15     27    17          35            2
5.919191          9       12       20       19       10       15     27    17          35            2
5.997093          9       12       20       19       10       15     27    17          35            2
6.076020          9       12       20       19       11       15     27    17          35            2
6.155985          9       12       20       19       11       15     27    17          35            2
6.237003          9       12       20       19       11       15     27    17          35            2
6.319087          9       12       20       19       12       15     27    17          35            2
6.402252          9       12       20       19       12       16     27    17          35            2
6.486511          9       12       20       19       12       16     27    17          35            2
6.571879          9       12       20       19       13       16     27    17          35            2
6.658371          9       12       20       19       13       16     27    17          35            2
6.746000          9       12       20       19       13       17     27    17          35            2
6.834783          9       12       20       19       13       17     27    17          35            2
6.924735          9       12       20       19       13       17     27    17          35            2
7.015870          9       12       20       19       13       17     27    17          35            2
7.108205          9       12       20       19       13       17     27    17          35            2
7.201755          9       12       20       19       13       17     27    17          35            2
7.296536          9       12       20       19       13       17     27    17          35            2
7.392565          9       12       20       19       13       17     27    17          35            2
7.489858          9       12       20       19       13       18     27    17          35            2
7.588430          9       12       20       19       14       19     27    18          35            2
7.688301          9       12       20       19       14       19     27    18          35            2
7.789485          9       12       20       19       14       19     27    18          35            2
7.892001          9       12       20       19       14       20     27    18          35            3
7.995867          9       12       20       19       15       20     27    18          35            3
8.101099          9       12       20       19       15       20     27    18          35            3
8.207717          9       12       20       19       15       20     27    18          35            3
8.315737          9       12       20       19       15       20     27    18          35            3
8.425179          9       12       20       19       15       20     27    18          35            3
8.536062          9       12       20       19       15       20     27    18          35            3
8.648404          9       13       20       19       15       20     27    18          35            3
8.762224          9       13       20       19       15       20     27    18          35            3
8.877542          9       13       20       19       15       20     27    18          35            3
8.994378         10       13       20       19       15       20     27    18          35            4
9.112752         10       13       20       19       15       20     27    18          35            4
9.232684         11       13       20       19       15       20     27    18          35            5
9.354194         11       13       20       19       15       20     27    18          35            5
9.477303         11       13       20       19       15       21     27    18          35            5
9.602032         11       13       20       19       15       21     27    18          35            5
9.728403         11       13       20       19       15       21     27    18          35            5
9.856437         11       13       20       19       15       21     27    18          35            5
9.986156         11       13       20       19       15       21     27    18          35            5
10.117582        11       13       20       20       15       21     27    18          35            5
10.250738        11       13       20       20       15       21     27    18          35            5
10.385647        11       13       20       20       15       21     27    18          35            5
10.522331        11       13       20       20       15       21     27    18          35            5
10.660814        11       13       20       20       15       21     27    18          35            5
10.801119        11       13       20       20       15       21     27    18          35            5
10.943271        11       13       20       20       15       21     28    18          35            5
11.087294        11       13       20       20       15       21     28    19          35            5
11.233212        11       13       20       20       15       21     28    19          35            5
11.381050        12       13       20       20       15       21     28    19          35            6
11.530835        13       13       20       20       16       21     28    19          35            7
11.682590        13       13       20       20       16       21     28    19          35            7
11.836343        13       13       20       20       16       21     28    19          35            7
11.992119        13       13       20       20       16       21     28    19          35            7
12.149946        13       13       20       20       16       21     28    19          35            7
12.309850        13       13       20       20       16       21     28    20          35            7
12.471858        13       13       20       20       16       21     28    20          35            7
12.635998        13       13       20       20       16       21     28    20          35            7
12.802298        13       13       20       20       16       21     28    20          35            7
12.970787        13       13       20       20       16       21     28    20          35            7
13.141494        13       13       20       20       16       21     28    20          35            7
13.314447        13       13       20       20       16       21     28    20          35            7
13.489677        13       14       20       20       16       21     28    20          35            7
13.667212        13       14       20       20       16       21     28    20          35            7
13.847085        13       14       20       20       16       21     28    20          35            7
14.029324        13       14       20       20       16       21     28    20          35            7
14.213962        13       14       20       20       16       21     28    20          35            7
14.401030        13       14       20       20       17       21     28    20          35            7
14.590559        13       14       21       20       17       21     28    20          35            7
14.782584        13       14       21       20       17       21     28    20          35            7
14.977135        13       14       21       20       17       21     28    20          35            7
15.174247        13       14       21       20       17       21     28    20          35            7
15.373953        13       14       21       20       17       21     28    20          35            7
15.576287        13       14       21       20       17       21     28    20          35            7
15.781284        13       14       21       20       17       21     28    20          35            7
15.988979        13       14       21       20       17       21     28    20          35            7
16.199408        13       14       21       20       17       21     28    20          35            7
16.412606        13       14       21       20       17       21     28    20          35            7
16.628610        13       14       21       20       17       21     28    20          35            7
16.847456        13       14       21       20       17       21     28    20          35            7
17.069183        13       14       21       20       17       21     28    20          35            7
17.293828        13       14       21       20       17       21     28    20          35            7
17.521430        13       14       21       20       18       21     28    20          35            7
17.752026        13       14       21       20       18       21     28    20          35            7
17.985658        13       14       21       20       18       21     28    20          35            7
18.222365        13       14       22       20       18       21     28    20          35            7
18.462187        13       14       22       20       18       21     28    20          35            7
18.705165        13       14       22       20       18       21     28    20          35            7
18.951341        13       14       22       20       18       21     28    20          35            7
19.200756        13       14       22       20       18       21     28    20          35            7
19.453455        13       14       22       20       18       21     28    20          35            7
19.709479        13       14       22       20       18       21     28    20          35            7
19.968872        13       14       22       20       18       21     28    20          35            7
20.231679        13       14       22       20       18       21     28    20          35            7
20.497946        13       14       22       20       18       21     28    20          35            7
20.767716        13       14       22       20       18       21     28    20          35            7
21.041037        13       14       22       20       18       21     28    20          35            7
21.317955        13       14       22       20       18       21     28    20          35            7
21.598517        13       14       22       20       18       21     28    20          35            7
21.882772        13       14       22       20       18       21     28    20          35            7
22.170768        13       14       23       20       18       21     28    20          35            7
22.462554        13       14       23       20       18       21     28    20          35            7
22.758180        13       14       23       20       18       21     28    20          35            7
23.057697        13       14       23       20       18       21     28    20          35            7
23.361156        13       14       23       20       18       21     28    20          35            7
23.668609        13       14       23       20       18       21     28    20          35            7
23.980108        13       14       23       20       18       21     28    20          35            7
24.295706        13       14       23       20       18       21     28    20          35            7
24.615459        13       14       23       20       19       21     28    20          35            7
24.939419        13       14       23       20       19       21     28    20          35            7
25.267643        13       14       23       20       19       21     28    20          35            7
25.600187        13       14       23       20       19       21     28    20          35            7
25.937107        14       14       23       20       19       21     28    20          35            7
26.278461        14       14       23       20       19       22     28    20          35            7
26.624308        14       14       23       20       19       22     28    20          35            7
26.974707        14       14       23       20       19       22     28    20          35            7
27.329717        14       14       23       20       19       22     28    20          35            7
27.689399        14       14       23       20       19       22     28    20          35            7
28.053815        14       14       23       20       19       22     28    20          35            7
28.423027        14       14       24       20       19       22     28    20          35            7
28.797098        14       14       24       20       19       22     28    20          35            7
29.176092        14       14       24       20       19       22     28    20          35            7
29.560075        14       14       24       20       19       22     28    20          35            7
29.949110        14       14       24       20       19       22     28    20          35            7
30.343266        14       14       24       20       19       22     28    20          35            7
30.742609        14       14       24       20       19       22     29    20          35            7
31.147208        14       14       24       20       19       22     29    21          35            7
31.557132        14       14       24       20       19       22     29    21          35            7
31.972451        14       14       24       20       19       22     29    21          35            7
32.393235        14       14       24       20       19       23     29    21          35            7
32.819558        14       14       24       20       19       23     29    21          35            7
33.251491        14       14       24       20       20       23     29    21          35            7
33.689109        14       14       24       20       20       23     29    21          35            7
34.132486        14       14       24       20       20       23     29    21          35            7
34.581699        14       14       24       20       20       23     29    21          35            7
35.036823        14       14       24       20       20       23     29    21          35            7
35.497938        14       14       24       20       20       23     29    21          35            7
35.965121        14       14       24       20       20       23     29    21          35            7
36.438452        14       14       24       20       20       23     29    21          35            7
36.918013        14       14       24       20       20       23     29    21          35            7
37.403886        14       14       24       20       20       23     29    21          35            7
37.896153        14       14       24       20       20       23     29    21          35            7
38.394898        14       14       24       20       20       23     29    21          35            7
38.900208        14       14       24       20       20       23     29    21          35            7
39.412168        14       14       24       20       20       23     29    21          35            7
39.930865        14       14       24       20       20       23     29    21          35            7
40.456389        14       14       24       20       20       23     29    21          35            7
40.988830        14       14       24       20       20       23     29    21          35            7
41.528278        14       14       24       20       20       23     29    21          35            7
42.074825        14       14       24       20       20       23     29    21          35            7
42.628565        14       14       24       20       20       23     29    21          35            7
43.189594        14       14       24       20       21       23     29    21          35            7
43.758005        14       14       24       20       21       23     29    21          35            7
44.333898        14       14       24       20       21       23     29    21          35            7
44.917370        14       14       24       20       21       23     29    21          35            7
45.508521        14       14       24       20       21       23     29    21          35            7
46.107451        14       14       24       20       21       23     29    21          35            7
46.714265        14       14       24       20       21       23     29    21          35            7
47.329064        14       14       24       20       21       23     29    21          35            7
47.951955        14       14       24       20       21       23     29    21          35            7
48.583043        14       14       24       20       21       23     29    21          35            7
49.222437        14       14       24       20       21       23     29    21          35            7
49.870247        14       14       24       20       21       23     29    21          35            7
50.526581        14       14       24       20       21       23     29    21          35            7
51.191554        14       14       24       20       22       23     29    21          35            7
51.865278        14       14       24       20       22       23     29    21          35            7
52.547870        14       14       24       20       22       23     29    21          35            7
53.239444        14       14       24       20       22       23     29    21          35            7
53.940121        14       14       24       20       22       23     29    21          35            7
54.650018        14       14       24       20       22       23     29    21          35            7
55.369259        14       14       24       20       22       24     29    21          35            7
56.097966        14       14       24       20       22       24     29    21          35            7
56.836263        14       14       24       20       22       24     29    21          35            7
57.584276        14       14       24       20       22       24     29    21          35            7
58.342134        14       14       25       20       22       24     29    21          35            7
59.109966        14       14       25       20       22       24     29    21          35            7
59.887904        14       14       25       21       22       24     29    21          35            7
60.676079        14       14       25       21       22       25     29    21          35            7
61.474628        14       14       25       21       22       25     29    21          35            7
62.283687        14       14       25       21       22       25     29    21          35            7
63.103393        14       14       25       21       22       25     29    21          35            7
63.933887        14       14       25       21       22       25     29    21          35            7
64.775311        14       14       25       21       22       25     29    21          35            7
65.627810        14       14       25       21       23       25     29    21          35            7
66.491527        14       14       25       21       23       25     29    21          35            7
67.366612        14       14       25       21       23       25     29    21          35            7
68.253214        14       14       25       21       23       25     29    21          35            7
69.151485        14       14       25       21       23       25     29    21          35            7
70.061577        14       14       25       21       23       25     29    21          35            7
70.983647        14       15       25       21       23       25     29    21          35            7
71.917852        14       15       25       21       23       25     29    21          35            7
72.864352        14       15       25       21       23       25     29    21          35            7
73.823309        14       15       25       21       23       26     29    21          35            7
74.794886        14       15       25       21       23       26     29    21          35            7
75.779251        14       15       25       21       23       26     29    21          35            7
76.776570        14       15       25       21       23       26     29    21          35            7
77.787015        14       15       25       21       23       26     29    21          35            7
78.810758        14       15       25       21       23       26     29    21          35            7
79.847975        14       15       25       21       23       26     29    21          35            7
80.898842        14       15       25       21       23       26     29    21          35            7
81.963539        14       15       25       21       23       26     29    21          35            7
83.042249        14       15       25       21       23       26     29    21          35            7
84.135156        14       15       25       21       23       26     29    21          35            7
85.242446        14       15       25       21       23       26     29    21          35            7
86.364309        14       15       25       21       23       26     29    21          35            7
87.500937        14       15       25       21       23       26     29    21          35            7
88.652524        14       15       25       21       23       26     29    21          35            7
89.819266        14       15       25       21       23       26     29    21          35            7
91.001364        14       15       25       21       23       26     29    21          35            7
92.199019        14       15       25       21       23       26     29    21          35            7
93.412437        14       15       25       21       23       26     29    21          35            7
94.641824        14       15       25       21       23       26     29    21          35            7
95.887391        14       15       25       21       23       26     29    21          35            7
97.149350        14       15       25       21       23       26     29    21          35            7
98.427918        14       16       25       21       23       26     29    21          35            7
99.723313        14       16       25       21       23       27     29    21          35            7
101.035757       14       16       25       21       23       27     29    21          35            7
102.365473       14       16       25       21       23       27     29    21          35            7
103.712690       14       16       25       21       23       27     29    21          35            7
105.077637       14       16       25       21       23       27     29    21          35            7
106.460548       14       16       26       21       23       27     29    21          35            7
107.861660       14       16       26       21       23       27     29    21          35            7
109.281211       14       16       26       21       23       27     29    21          35            7
110.719444       14       16       26       21       23       27     29    21          35            7
112.176606       14       16       26       21       23       27     29    21          35            7
113.652946       14       16       26       21       23       27     29    21          35            7
115.148715       14       16       27       21       23       27     29    21          35            7
