Absolute performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
            SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
77.707078         6       10       15       11       12       18     15    11          22            2
78.338176         6       10       15       11       12       18     15    11          22            2
78.969275         6       10       15       11       12       18     15    11          22            2
79.600373         6       10       15       11       12       18     15    11          22            2
80.231471         6       10       15       11       12       18     15    11          22            2
80.862569         6       10       15       11       12       18     15    11          22            2
81.493667         6       10       16       11       12       18     15    11          22            2
82.124766         6       10       16       11       12       18     15    11          22            2
82.755864         6       10       16       11       12       18     15    11          22            2
83.386962         6       10       16       11       12       18     15    11          22            2
84.018060         6       10       16       11       12       18     15    11          22            2
84.649158         6       11       16       11       12       18     15    11          22            2
85.280257         6       11       16       11       12       18     15    11          22            2
85.911355         6       11       16       11       12       18     15    11          22            2
86.542453         6       11       16       11       12       18     15    11          22            2
87.173551         6       11       16       11       12       18     15    11          22            2
87.804649         6       11       16       11       12       18     15    11          22            2
88.435747         6       11       16       11       12       18     15    11          22            2
89.066846         6       11       16       11       12       18     15    11          22            2
89.697944         6       11       16       11       12       18     16    11          22            2
90.329042         6       11       16       11       12       18     16    11          22            2
90.960140         6       11       16       11       12       18     16    11          22            2
91.591238         6       11       16       11       12       18     16    11          22            2
92.222337         6       11       16       11       12       18     16    11          22            2
92.853435         6       11       16       11       12       18     16    11          22            2
93.484533         6       11       16       11       12       18     16    11          22            2
94.115631         6       11       16       11       12       18     16    11          22            2
94.746729         6       11       16       11       12       18     16    11          22            2
95.377828         6       11       16       11       12       18     16    11          22            2
96.008926         6       11       16       11       12       18     16    11          22            2
96.640024         6       11       16       11       12       18     16    11          22            2
97.271122         6       11       16       11       12       18     16    11          22            2
97.902220         6       11       16       11       12       18     16    11          22            2
98.533319         6       11       16       11       12       18     16    11          22            2
99.164417         6       11       16       11       12       18     16    11          22            2
99.795515         6       11       16       11       12       18     16    11          22            2
100.426613        6       11       16       11       12       18     16    11          22            2
101.057711        6       11       16       11       12       18     16    11          22            2
101.688810        6       11       16       11       12       18     17    11          22            2
102.319908        6       11       16       11       12       18     17    11          22            2
102.951006        6       11       16       11       12       18     17    12          22            3
103.582104        6       11       16       11       12       18     17    12          22            3
104.213202        6       11       16       11       12       18     17    12          22            3
104.844301        6       11       16       11       12       18     17    12          22            3
105.475399        6       11       16       11       12       18     17    12          22            3
106.106497        6       11       16       11       12       18     17    12          22            3
106.737595        6       11       16       11       12       18     17    12          22            3
107.368693        6       11       16       11       12       18     17    12          22            3
107.999792        6       11       16       11       12       18     17    12          22            3
108.630890        6       11       16       11       12       18     17    12          22            3
109.261988        6       11       17       11       12       18     17    12          22            3
109.893086        6       11       17       11       12       18     17    12          22            3
110.524184        6       11       17       11       12       18     17    12          22            3
111.155283        6       11       17       11       12       18     17    12          22            3
111.786381        6       11       17       11       12       18     17    12          22            3
112.417479        6       11       17       11       12       18     17    12          22            3
113.048577        6       11       17       11       12       18     17    12          22            3
113.679675        6       11       17       11       12       18     17    12          22            3
114.310774        6       11       17       11       12       18     17    12          22            3
114.941872        6       11       17       11       12       18     17    12          22            3
115.572970        6       11       17       11       12       18     17    13          22            3
116.204068        6       11       17       11       12       18     17    13          22            3
116.835166        6       11       17       11       12       18     17    13          22            3
117.466265        6       11       17       11       12       18     17    13          22            3
118.097363        6       11       17       11       12       18     18    13          22            3
118.728461        6       11       17       11       12       18     18    13          22            3
119.359559        6       11       17       11       12       18     18    13          22            3
119.990657        6       11       17       11       12       18     18    13          22            3
120.621756        6       11       17       11       12       18     18    13          22            3
121.252854        6       11       17       11       12       18     18    13          22            3
121.883952        6       11       17       11       12       18     18    13          22            3
122.515050        6       11       17       11       12       18     18    13          22            3
123.146148        6       11       17       11       12       18     18    13          22            3
123.777246        6       11       17       11       12       18     18    13          22            3
124.408345        6       11       17       11       12       18     18    13          22            3
125.039443        6       11       17       11       12       18     18    13          22            3
125.670541        6       11       18       11       12       18     18    13          22            3
126.301639        6       11       18       11       12       18     18    13          22            3
126.932737        6       11       18       11       12       18     19    14          23            3
127.563836        6       11       18       11       12       18     19    14          23            3
128.194934        6       11       18       11       12       18     19    14          23            3
128.826032        6       11       18       11       12       18     19    14          23            3
129.457130        6       11       18       11       12       18     19    14          23            3
130.088228        6       11       18       11       12       18     19    14          23            3
130.719327        6       11       18       11       12       18     19    14          23            3
131.350425        6       11       18       11       12       18     19    14          23            3
