Relative performance profile for SolverTime
Filter: no fail
             SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
7.681973          17       23       29       26       22       26     33    26          41           13
7.809328          17       23       29       26       22       26     33    26          41           13
7.938795          17       23       29       26       22       27     33    26          41           14
8.070408          17       23       29       26       23       27     33    26          41           14
8.204203          17       23       29       26       23       27     33    26          41           14
8.340217          17       23       29       26       23       27     33    26          41           14
8.478485          17       23       29       26       23       27     33    26          41           14
8.619045          17       24       29       26       23       27     33    26          41           14
8.761936          17       24       29       26       23       27     33    26          41           14
8.907195          17       24       29       26       23       27     33    26          41           14
9.054863          18       24       29       26       23       27     33    26          41           15
9.204979          19       24       29       26       23       27     33    26          41           16
9.357583          20       25       29       27       24       27     33    26          41           17
9.512718          20       25       29       27       24       28     33    26          41           17
9.670424          20       25       29       27       24       28     33    26          41           17
9.830745          20       25       29       27       24       28     33    26          41           17
9.993724          21       27       29       29       26       28     33    26          41           18
10.159404         22       27       29       30       26       28     33    26          41           19
10.327832         22       27       29       30       26       28     33    26          41           19
10.499051         22       27       29       30       26       28     33    26          41           19
10.673110         22       27       29       30       26       28     33    26          41           19
10.850053         23       28       30       31       27       29     33    26          41           19
11.029931         23       28       30       31       27       29     34    26          41           19
11.212790         23       28       30       31       27       29     34    27          41           19
11.398681         24       28       30       31       28       29     34    27          41           21
11.587654         25       28       30       31       28       29     34    27          41           22
11.779760         25       28       30       31       28       29     34    27          41           22
11.975050         25       28       30       31       28       29     34    27          41           22
12.173578         25       28       30       31       28       29     34    27          41           22
12.375397         25       28       30       31       28       29     34    28          41           22
12.580563         25       28       30       31       28       29     34    28          41           22
12.789129         25       28       30       31       28       29     34    28          41           22
13.001153         25       28       30       31       28       29     34    28          41           22
13.216693         25       28       30       31       28       29     34    28          41           22
13.435805         25       28       30       31       28       29     34    28          41           22
13.658550         25       29       30       31       28       29     34    28          41           22
13.884988         25       29       30       31       28       29     34    28          41           22
14.115180         25       29       30       31       28       29     34    28          41           22
14.349189         25       29       30       31       29       29     34    28          41           22
14.587076         25       29       31       31       29       29     34    28          41           22
14.828908         25       29       31       31       29       29     34    28          41           22
15.074748         25       29       31       31       29       29     34    28          41           22
15.324665         25       29       31       31       29       29     34    28          41           22
15.578724         25       29       31       31       29       29     34    28          41           22
15.836996         25       29       31       31       29       29     34    28          41           22
16.099549         25       29       31       31       29       29     34    28          41           22
16.366455         25       29       31       31       29       29     34    28          41           22
16.637786         25       29       31       31       29       29     34    28          41           22
16.913615         25       29       31       31       29       29     34    28          41           22
17.194017         25       29       31       31       29       29     34    28          41           22
17.479067         25       29       31       31       30       29     34    28          41           22
17.768844         25       29       31       31       30       29     34    28          41           22
18.063424         25       29       31       31       30       29     34    28          41           22
18.362888         25       29       32       31       30       29     34    28          41           22
18.667317         25       29       32       31       30       29     34    28          41           22
18.976792         25       29       32       31       30       29     34    28          41           22
19.291399         25       29       32       31       30       29     34    28          41           22
19.611220         25       29       32       31       30       29     34    28          41           22
19.936345         25       29       32       31       30       29     34    28          41           22
20.266859         25       29       32       31       30       29     34    28          41           22
20.602852         25       29       32       31       30       29     34    28          41           22
20.944416         25       29       32       31       30       29     34    28          41           22
21.291643         25       29       32       31       30       29     34    28          41           22
21.644626         25       29       32       31       30       29     34    28          41           22
22.003461         25       29       33       31       30       29     34    28          41           22
22.368244         25       29       33       31       30       29     34    28          41           22
22.739076         25       29       33       31       30       29     34    28          41           22
23.116055         25       29       33       31       30       29     34    28          41           22
23.499284         25       29       33       31       30       29     34    28          41           22
23.888866         25       29       33       31       30       29     34    28          41           22
24.284907         25       29       33       31       30       29     34    28          41           22
24.687514         25       29       33       31       31       29     34    28          41           22
25.096795         25       29       33       31       31       29     34    28          41           22
25.512862         25       29       33       31       31       29     34    28          41           22
25.935826         26       29       33       31       31       29     34    28          41           22
26.365802         26       29       33       31       31       30     34    28          41           22
26.802907         26       29       33       31       31       30     34    28          41           22
27.247259         26       29       33       31       31       30     34    28          41           22
27.698976         26       29       33       31       31       30     34    28          41           22
28.158183         26       29       34       31       31       30     34    28          41           22
28.625003         26       29       34       31       31       30     34    28          41           22
29.099562         26       29       34       32       32       31     34    28          41           22
29.581988         26       30       34       32       32       31     34    28          41           22
30.072412         26       30       35       32       32       31     34    29          41           22
