Relative performance profile for SolverTime
Filter: time >= 10.0 by at least one solver and no fail for all solvers
             SHOTcq0  SHOTcq1  SHOTcq2  SHOThq0  SHOThq1  SHOThq2  baron  scip  virt. best  virt. worst
7.556695          12       14       18       17       12       18     19    15          27            9
7.681973          12       14       18       17       12       18     19    15          27            9
7.809328          12       14       18       17       12       18     19    15          27            9
7.938795          12       14       18       17       12       18     19    15          27            9
8.070408          12       14       18       17       13       18     19    15          27            9
8.204203          12       14       18       17       13       18     19    15          27            9
8.340217          12       14       18       17       13       18     19    15          27            9
8.478485          12       14       18       17       13       18     19    15          27            9
8.619045          12       14       18       17       13       18     19    15          27            9
8.761936          12       14       18       17       13       18     19    15          27            9
8.907195          12       14       18       17       13       18     19    15          27            9
9.054863          12       14       18       17       13       18     19    15          27            9
9.204979          12       14       18       17       13       18     19    15          27            9
9.357583          13       15       18       18       14       18     19    15          27           10
9.512718          13       15       18       18       14       18     19    15          27           10
9.670424          13       15       18       18       14       18     19    15          27           10
9.830745          13       15       18       18       14       18     19    15          27           10
9.993724          14       17       18       20       16       18     19    15          27           11
10.159404         15       17       18       21       16       18     19    15          27           12
10.327832         15       17       18       21       16       18     19    15          27           12
10.499051         15       17       18       21       16       18     19    15          27           12
10.673110         15       17       18       21       16       18     19    15          27           12
10.850053         15       17       18       21       16       18     19    15          27           12
11.029931         15       17       18       21       16       18     20    15          27           12
11.212790         15       17       18       21       16       18     20    16          27           12
11.398681         15       17       18       21       17       18     20    16          27           13
11.587654         15       17       18       21       17       18     20    16          27           13
11.779760         15       17       18       21       17       18     20    16          27           13
11.975050         15       17       18       21       17       18     20    16          27           13
12.173578         15       17       18       21       17       18     20    16          27           13
12.375397         15       17       18       21       17       18     20    17          27           13
12.580563         15       17       18       21       17       18     20    17          27           13
12.789129         15       17       18       21       17       18     20    17          27           13
13.001153         15       17       18       21       17       18     20    17          27           13
13.216693         15       17       18       21       17       18     20    17          27           13
13.435805         15       17       18       21       17       18     20    17          27           13
13.658550         15       18       18       21       17       18     20    17          27           13
13.884988         15       18       18       21       17       18     20    17          27           13
14.115180         15       18       18       21       17       18     20    17          27           13
14.349189         15       18       18       21       18       18     20    17          27           13
14.587076         15       18       19       21       18       18     20    17          27           13
14.828908         15       18       19       21       18       18     20    17          27           13
15.074748         15       18       19       21       18       18     20    17          27           13
15.324665         15       18       19       21       18       18     20    17          27           13
15.578724         15       18       19       21       18       18     20    17          27           13
15.836996         15       18       19       21       18       18     20    17          27           13
